status,path,head_hash,worktree_hash,disposition
 M,backend/src/infrastructure/sqlite/architecture_repo.py,sha256:e0c714dff092e0e138553f3ce038dd3449ef96e05f8886d54db661bac04b4e86,sha256:18c74155168343144defa8bb9b1b9cd8aad0f3e49ebdb4443ee728e469ed3fce,excluded_from_committed_source
 M,backend/src/infrastructure/sqlite/db.py,sha256:adcc631a3d8974e4aa5c6dffd8479c9ff34caa5f5037b268058842f18d5f80a6,sha256:18b07cea3c364445f54cdeb784e0a538ca1c5d96d128f0272554bcc8f3b0d77e,excluded_from_committed_source
 M,backend/src/infrastructure/sqlite/planning_change_proposal_repo.py,sha256:6389b10819fa03be15c120947f7badf814534935d9c96af786ff1fdbe1476c8d,sha256:188f5500ad1cf39a942e7f22d134975137528f7bbe3c5fe21820ebc014118bc6,excluded_from_committed_source
 M,backend/src/infrastructure/sqlite/planning_exploration_repo.py,sha256:41e42c05d558bc83d4c13e05f1ea7de6e827738b9f335444d9c00750c6e7e3c4,sha256:3cc9b82063498756e81f5b46d7d6788f288de224c57ed32ce4736f374d9104c4,excluded_from_committed_source
 M,backend/src/infrastructure/sqlite/schema.sql,sha256:0e8f50fc8268f937a81406fa25b9bbf0b68ea9717328a9e6813c695769a2471c,sha256:65efb7be9eaa8c5e2993902e4af241a64ff918fdee73b81a00344cce6dc1e086,excluded_from_committed_source
 M,backend/src/infrastructure/sqlite/story_planning_repo.py,sha256:3001c7212bdcab5c4e6dfdcc936a454d9f1915ba00404bd8e5b95896ccd93f68,sha256:4b5d9310e7c4cc2f524c69f4d03986b91b98f8f6851f66d4fc81c077837a4a97,excluded_from_committed_source
 M,backend/src/presentation/api.py,sha256:a78571dbcec9456e6843aa1c47bb6ed45b1b15eb5f668df5888ad9ba7ffdb195,sha256:85a0f7a3a97689daae62295722caa62e0c54f26b78206c325056f377f83a6118,excluded_from_committed_source
 M,backend/src/presentation/main.py,sha256:428408d7c2878d1aefccedecd348166a87ec9e0f5c3c2c807ed4897e672d8002,sha256:049536da270aa29bc424ec0be0fbfeb38e74f16737a2838d6727c9e3ee57d14e,excluded_from_committed_source
 M,backend/tests/conftest.py,sha256:c51107bee75b4da66d22a05b9db716b2f496b57d913698ffd9412af9bd033b74,sha256:2422dd5f8b6bb5149974f7a387dbfa9fa6ce80e0dce1d7e064b388a6c559b537,excluded_from_committed_source
 M,backend/tests/fixtures/autonomous_stage6b_architecture_overlap_v1.json,sha256:c6805c5b89039bb56b0e235fbbc8c56ec0eecc9578c7644c812390ec2e36dca8,sha256:3e4cf08c273b4f1f53fb6a4c0a00227374058d9373365e0858063cdea435039a,excluded_from_committed_source
 M,backend/tests/fixtures/autonomous_stage6b_architecture_rule_variant_decisions_v1.json,sha256:fa5aa1e5ab1a908ff2f0e14f2119e4037f6f93b8c9e24b28692bcd01a9a0a33d,sha256:8d666128ffdc201abd70e1c09988d962e19049adc770819e4f69192b1db9f1dd,excluded_from_committed_source
 M,backend/tests/fixtures/autonomous_stage6b_architecture_w2_decisions_v1.json,sha256:c6bb55b1eeedba92afc531b929f8411a301b1548b61eeedc0f17ee688c8291db,sha256:854bd8b56a10a51e7d6255c0249a418b7f8c6b8aaea88d75feca368f2a590ded,excluded_from_committed_source
 M,backend/tests/test_architecture_planning_run_repo.py,sha256:9e4c323853d1505de8632579d641d71e4e1655386188b3d05b1384ae756a4b18,sha256:b51751bc749985d630e175585cef07f345f217918e584aae9ef721d7923b0a60,excluded_from_committed_source
 M,backend/tests/test_architecture_runtime.py,sha256:c9cbc7ec50614c31dca225ce406788f7495e8c75a4b6fe52cba5bbd4d2427a1c,sha256:238e9d6671dcadc36ecfd5692f58bd93a312f03d2081a7276360ff5cca9833c5,excluded_from_committed_source
 M,backend/tests/test_chapter_execution_card.py,sha256:22ba5d825b3ebb0c6375d1f4229cec7327a815af430bb2c259aca8520de97595,sha256:b9108a4cfcf1de75115845376ca845a6c83a2c92377e4bb60239c1e4e0c1caf6,excluded_from_committed_source
 M,backend/tests/test_knowledge_pack.py,sha256:79a0975a25eb981e3aea5269aeb86ab4710a1fc1d77d6af7f56a98ec1b5b87a9,sha256:40b768e7f9e53966d3f7f9d8a53605d1f0a59d63d6f59b30be4c90cb27416f5b,excluded_from_committed_source
 M,backend/tests/test_pydantic_ai_gateway.py,sha256:b4d58e1159688c7e9e95ac5ce70dfc9bd2bf28539b76ae11e4efafd231b0ae22,sha256:55ccaad90ca5f1c5b9e54266f6a493d690631b0257b344a30ed64f7ce108a268,excluded_from_committed_source
 M,backend/tests/test_smoke_e2e.py,sha256:b2def86e8638027642254e1e2ec9b5d0c3a2bb30bcb965ea18f80be0f1eb5c7d,sha256:644d8d09921a48c0a18e6befaf3ca1f9efc3c9151e2f71a882f9803a80c225b7,excluded_from_committed_source
 M,backend/tests/test_story_planning_api.py,sha256:8ad5e3741d9110df721f1f4bec1c025c65af1c37fe24f6c28bf526bf66429f56,sha256:ae50b097bdee08af4f9f214d66982e0558a1e34ac09e1d9edfa15d357692ea39,excluded_from_committed_source
 M,backend/tests/test_story_planning_contract.py,sha256:a5de22fd08ce12c1f88e29a7e7e5f338b11ec4d258c0e519e06855394b9794ba,sha256:cf9057d083b902d7e62eeb0df65e3d4ef643b89269602d9fd1cf37a25c2fb3d8,excluded_from_committed_source
 M,backend/tests/test_story_planning_production.py,sha256:bdec0223ebf5d99bb9fa2ac47ad827ff70d65eb2eb57c3c88d54bf66a8236dc5,sha256:51542632e5c5ca0aec1824bb580a7778f79a15713bbc7b5925c6e6973d853195,excluded_from_committed_source
 M,backend/tests/test_story_planning_runner.py,sha256:4a117ce7ccbb48f2af8522d6f6184c6d347aa2cb36332385adad564744f08ecd,sha256:0f62b10114c957bfe4d69d26e8d55181d5b97263db5d96a59a7d3f9a5bdb7f95,excluded_from_committed_source
 M,docs/ai_runtime_agents.md,sha256:fa95e0aba945975ce64c6eb9541087e9681405dac04b35d92cf4681243833613,sha256:08fa87d6bc302d642b6f01a0939f8eb91726b8ec4a68a950929aff174517b932,excluded_from_committed_source
 M,docs/architecture.md,sha256:558b7078daa5a7f046f3f37dcea762221764155f869305bd9c6a8edb4ab37fff,sha256:e60c91f91b53015889621fbb455d831c393a3865e5923e695b018413377c6845,excluded_from_committed_source
 M,docs/domain_models.md,sha256:2d2e005b62abc615ac1f4f3c0d899615da6691b6242455c42660b6fc7006148f,sha256:ad4cc598af877b7a464fe985ca098dd6e522f5b16f03c683204e89a4ddb12a8f,excluded_from_committed_source
 M,docs/frontend_planning.md,sha256:8428eba3b810cb583447fa4c71c1c870981070800468c8ee1506473ba2426199,sha256:b79619dd215c077d2e1482256b5f02833dbf70f01bc3ac0c6cb49af4c6db082e,excluded_from_committed_source
 M,docs/plugin_sdk.md,sha256:7550c01cfd640d7c6cdcb69164866f5c994c1f5fee53258bd3a4a2ebb88e96bd,sha256:69741ae545d2535f085808bf16b5abf2e85866fc2bf5248e90f85f8417c08e98,excluded_from_committed_source
 M,frontend/src/app/planning/page.tsx,sha256:2053ef36763320c8ccf6d9c408c430f670aac0321561c94f19efbef226fc15bb,sha256:4c9682ffd1ad09f0cca89fa2f226f583c8bbcfc06546a165400e6719e76c2fdd,excluded_from_committed_source
 M,tasks/README.md,sha256:c0007281849f74db70732c089fb52b3cb05124d8434ff4497f5ce74fafa38f80,sha256:e690bcf79ef52c6da6b430e13d668f5fb792d54788461883dec5ffe0f5d7b047,excluded_from_committed_source
 M,tasks/autonomous_creation_semantic_evaluation.md,sha256:8cbb403d1995e406cd6b7ca3c792aeb261819f3848fc38aff4f576a3f1fe57bb,sha256:591a56cbb059d6122aa380c6b85e51d2df9779263f041b0e3fbad69657086c6b,excluded_from_committed_source
 M,tasks/autonomous_creation_skill_system.md,sha256:54427f603513fc16beb1f95bc522ecc95f65ada513efe736fbca024b816c6817,sha256:625edabbbb2f4a8ff4e9bd0aee256ab90c6ee61975da602bd89c9f478f08bd45,excluded_from_committed_source
 M,tasks/dynamic_runtime_implementation_checklist.md,sha256:34d83303b066acc73e08303822305796c3eeb161fabcf61b726d472d93ac0fdc,sha256:fd631a5203dd16479a3f7a3d4badefb896a7a6c09a3592c98a4f9a2474677e6f,excluded_from_committed_source
 M,tasks/story_direction_candidate_workflow.md,sha256:ec63e7c27b4fb715d2d1014d936aec94f154e246848b4d51e11c35a7d2a88138,sha256:57233d424eb58baf95460ae5cd4855571b7c2ae7c90fec38e439fb091096409d,excluded_from_committed_source
??,.zcode/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/core-character-architecture-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/core-character-direction-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/core-character-instantiation/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/core-character-internal-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-arc-character-gap-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-arc-state-outline/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-stage-checkpoint-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-stage-checkpoint/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-strategy-architecture-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-strategy-direction-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-strategy-internal-review/,-,-,excluded_from_committed_source
??,backend/plugins/system/skills/story-strategy-skeleton/,-,-,excluded_from_committed_source
??,backend/scripts/long_form_story_semantic_evaluation.py,-,sha256:7ccac1f747df17aaacf6234b0276529740b9eff0c51f45cf7f9e1edc9f1abda5,excluded_from_committed_source
??,backend/src/application/character_runtime_snapshot.py,-,sha256:968b9a7072d0b5261b3f96b8b9592741992930bc1f731eef7749867302df9793,excluded_from_committed_source
??,backend/src/application/core_character_registry_workflow.py,-,sha256:a91534f3fd966c275152017762da617279684fc42a78957abf780383704c845a,excluded_from_committed_source
??,backend/src/application/core_character_workflow.py,-,sha256:b279094a4ea8f0b8a54ed6e9c6c0ba262a8fc3686e485c824084cd242fae3341,excluded_from_committed_source
??,backend/src/application/planning_asset_revision.py,-,sha256:1749ca5a64b0e93259401be2c6d457ea2d6f61d5cd6eeb83dc07eadaa8a84ca2,excluded_from_committed_source
??,backend/src/application/planning_editor_context.py,-,sha256:060cece162c79725bdef830ac4c1b4b18e83fbb5ee61a3b2a043e31f7cc83f54,excluded_from_committed_source
??,backend/src/application/stage_prompt_context.py,-,sha256:733cf3a58e610acb87258714ed8893dba38101b7aa21694b8513b453c24c575c,excluded_from_committed_source
??,backend/src/application/story_arc_workflow.py,-,sha256:acef2eeb89e9b276b5aab470c8508b9745fadc9ac544084d3d7012c5326ef99e,excluded_from_committed_source
??,backend/src/application/story_planning_errors.py,-,sha256:6a8590dd582ee903bba6fad82caf55b044f5dc779a8ade25e5f33b4ed86111e7,excluded_from_committed_source
??,backend/src/application/story_stage_checkpoint.py,-,sha256:5988aa77a211c5ee33017ec4f8519079c12b8937b1e7980aa792dcbed41f470c,excluded_from_committed_source
??,backend/src/application/story_strategy_workflow.py,-,sha256:1948f49d54d0a64d19fcea15311c29283bc710f6b08385a45b6241ffeaea88c4,excluded_from_committed_source
??,backend/src/domain/planning_asset_revision.py,-,sha256:4d97ace4fbf0ae055c4400dba916517e3c0b3b01d3abfc4791096402c4143e4b,excluded_from_committed_source
??,backend/src/infrastructure/sqlite/planning_asset_revision_repo.py,-,sha256:b9ac2921fd820699310d6378e063310c8b5de6eb0f90efffab58e3638a07c2b2,excluded_from_committed_source
??,backend/tests/fixtures/long_form_story_semantic_inputs_v1.json,-,sha256:13fd340e2764ffff583902691f77e2193f2052fcf5d28703dca7031ab0de4adb,excluded_from_committed_source
??,backend/tests/fixtures/long_form_story_semantic_oracles_v1.json,-,sha256:3725d214d9b9a170878c0ec7b90717559d9d2065f432d0d7cb70ce2c41235079,excluded_from_committed_source
??,backend/tests/test_character_expansion_proposal.py,-,sha256:01e12a26adcc571d5e8d3e38fffcd819334a877a78d9fb215ad5eb690068bfdf,excluded_from_committed_source
??,backend/tests/test_character_runtime_snapshot.py,-,sha256:86f6e9093562c10f21ec079644ca0ea7d434e190603ff6bda91417a1c117526b,excluded_from_committed_source
??,backend/tests/test_core_character_registry.py,-,sha256:2c683f65f3ec947d1c767a299703ae8b48f2f4940ed73774c53d89ab1d277909,excluded_from_committed_source
??,backend/tests/test_core_character_registry_workflow.py,-,sha256:9e97d5658400f1e87f740d8190f46803543721c6d4a5365d16c44207208006cd,excluded_from_committed_source
??,backend/tests/test_core_character_workflow.py,-,sha256:f9c4ec63c9983df0c347d57309761ff3b349e200742998e4b5a78ceeaf2db340,excluded_from_committed_source
??,backend/tests/test_database_migrations.py,-,sha256:f53d4ad27a46fe14dc8929f8ab4d63950fef3049d51cd66897983f090cbec7f2,excluded_from_committed_source
??,backend/tests/test_long_form_story_semantic_evaluation.py,-,sha256:2df4406772649ee1791897c306895ba13ed13e6abe5f223ac10b70ab25334965,excluded_from_committed_source
??,backend/tests/test_no_live_llm.py,-,sha256:a38d8c03eeea723ca03e6fd721716c86dbde7624db5becc513fa4020ed6759c2,excluded_from_committed_source
??,backend/tests/test_planning_editor_context.py,-,sha256:2833714bc1d7b619bde67a7ea344bba8870599ddc223ead3adaaaf94880da6c6,excluded_from_committed_source
??,backend/tests/test_story_arc_gap_workflow.py,-,sha256:2cf0df0174b76f6e6b695e148e84ccf0ac70c0a1b65c72f06f28fbe49c465138,excluded_from_committed_source
??,backend/tests/test_story_arc_outline_contract.py,-,sha256:118beb18ce6a48ffdbfdd66c5a1554f88b0aed46cf7283c3e06c429a50e6c2c6,excluded_from_committed_source
??,backend/tests/test_story_arc_outline_repo.py,-,sha256:d94dda4578a6001e441f883d2267e0eec8af8f2d72a23293b474a79ecd777152,excluded_from_committed_source
??,backend/tests/test_story_planning_authority_propagation.py,-,sha256:e2abc21c93723985743fd7eb437c6f03ddf9b62bc0d6f22e03ed4fbf33fcdca4,excluded_from_committed_source
??,backend/tests/test_story_planning_errors.py,-,sha256:eb30f34c4440b9294660222e5fa0d04247726d04c3aeda506943009fb3e8aa21,excluded_from_committed_source
??,backend/tests/test_story_stage_checkpoint.py,-,sha256:e9da48b60af9358ae21bf0ff9ee9ea85326d179ef57f13798ede9fe53d3d526a,excluded_from_committed_source
??,backend/tests/test_story_strategy_workflow.py,-,sha256:c1fda7e296c79d2b3029c31d0523bcdc32071821fb3facc6e89af8df4b58c870,excluded_from_committed_source
??,frontend/src/app/planning/LongFormPlanningPanels.tsx,-,sha256:2120f8fd1b8b0702646c9ea6cf09ad8639733c1816ba5d10c4fbd50d7aee7c3a,excluded_from_committed_source
??,frontend/src/components/ui/,-,-,excluded_from_committed_source
??,tasks/architecture_editor_story_planning_integration.md,-,sha256:01b5c21a80dc8228d722e9ec5e11825343fe416504437def482f15bb3904abbf,excluded_from_committed_source
??,tasks/core_character_workflow.md,-,sha256:ff60622d0c670f25f0e4034c1025cdc78cb4dc16893c483fdcdf3dbdb1901059,excluded_from_committed_source
??,tasks/long_form_story_strategy_and_character_lifecycle.md,-,sha256:62e19f6ee565593a183514b8a0f2f20935e5337b18a165b177b02f8dc7727778,excluded_from_committed_source
??,tasks/stage_scoped_prompt_context.md,-,sha256:a25fa3f288e833d6daa0cba52f3d7ffc24748e2d058fd5720f81ddb0f1efc0ff,excluded_from_committed_source
??,tasks/story_planning_volume_outline.md,-,sha256:61dfb03cde54582f8f1cbfbad8fb95b4b0c095f29ff9d6d069384d2360c44b1f,excluded_from_committed_source
