plugin,skill,source_path,source_hash,lifecycle,stage,asset,capability,license_origin
worldbuilding,architecture-w0,backend/plugins/worldbuilding/skills/architecture-w0/metadata.yaml,sha256:29902029cb2ea9b8ed14fab675c1ec2e3eca2b065eb2bf1b6fd750e12eb408ad,active,architecture,world,generate,novelos-repository:license-unverified
worldbuilding,architecture-w0-v2,backend/plugins/worldbuilding/skills/architecture-w0-v2/metadata.yaml,sha256:a6968f3fc4a23fc5890d09f4f92cb33324831438003c07cadddc58e257ce58be,experiment,architecture,world,generate,novelos-repository:license-unverified
worldbuilding,architecture-w1,backend/plugins/worldbuilding/skills/architecture-w1/metadata.yaml,sha256:ebe790b573b8a048d460213800e6aa3432f9334cab9cdee757903c2186fbd3fd,active,architecture,power_system,generate,novelos-repository:license-unverified
worldbuilding,architecture-w1-v2,backend/plugins/worldbuilding/skills/architecture-w1-v2/metadata.yaml,sha256:5a66fbe72a5fe8f8ef8d230565761e7bd651aa42f1b73b7513ec98d922c364c8,experiment,architecture,power_system,generate,novelos-repository:license-unverified
worldbuilding,architecture-w2,backend/plugins/worldbuilding/skills/architecture-w2/metadata.yaml,sha256:8039a0dd3f6517d37ee3fe2b8de78d61f68e19bcd57970cf8d4e2195f9507fdd,active,architecture,faction,generate,novelos-repository:license-unverified
worldbuilding,architecture-w2-v2,backend/plugins/worldbuilding/skills/architecture-w2-v2/metadata.yaml,sha256:7992c423ad384fde0bc85197cd340f9d7d3b1168690bf072dd6e2bcdcd5a9890,experiment,architecture,faction,generate,novelos-repository:license-unverified
worldbuilding,architecture-w3,backend/plugins/worldbuilding/skills/architecture-w3/metadata.yaml,sha256:3a87c5c57060335af6e5e3c389556f3f0944d9cfa43415164d2161ec95d8bada,active,architecture,character,generate,novelos-repository:license-unverified
worldbuilding,architecture-w3-v2,backend/plugins/worldbuilding/skills/architecture-w3-v2/metadata.yaml,sha256:1045eefb0c226b28e939d3a85c73e8926d5eeb9b9fa37a50d664e5e3d6bbee3a,experiment,architecture,character,generate,novelos-repository:license-unverified
worldbuilding,architecture-wmeta,backend/plugins/worldbuilding/skills/architecture-wmeta/metadata.yaml,sha256:74e35f54a220cbb3ea56ee468c1cde9bc2f0ce52b707de8c46a5b4740a14c027,active,architecture,world,compose,novelos-repository:license-unverified
worldbuilding,architecture-wmeta-v2,backend/plugins/worldbuilding/skills/architecture-wmeta-v2/metadata.yaml,sha256:38492b20dc8f3df53d37be991a918c157cb4468efbae99200c890b5790ebd59a,experiment,architecture,world,compose,novelos-repository:license-unverified
worldbuilding,architecture-x0,backend/plugins/worldbuilding/skills/architecture-x0/metadata.yaml,sha256:c8e4dea0ce2223f5f903ed02609174d77f882146335b9b36323e2d7b61b4728a,active,architecture,power_system,compose,novelos-repository:license-unverified
worldbuilding,architecture-x0-v2,backend/plugins/worldbuilding/skills/architecture-x0-v2/metadata.yaml,sha256:1cc22ff3b96368b5bed91bd3d6e70ea1c304ccf528c432a1affb4b75bbcfb590,experiment,architecture,power_system,compose,novelos-repository:license-unverified
wuxia,jianghu_chivalry_guide,backend/plugins/wuxia/skills/jianghu_chivalry_guide/metadata.yaml,sha256:cb2ae82110e690c89846542843cd592ef3e736b39e45e4f42787df7c5b946be0,active,write,style,generate,novelos-repository:license-unverified
wuxia,wuxia_guide,backend/plugins/wuxia/skills/wuxia_guide/metadata.yaml,sha256:8e869294345f4349a6a8a8dad0b596683fdba7b1b3d3867744a65b3e536d7dd3,active,write,style,generate,novelos-repository:license-unverified
xianxia,climax_break,backend/plugins/xianxia/skills/climax_break/metadata.yaml,sha256:113f9842f6eea9871647e02440469c3069317e4d2e5746b2de6cd93f245e8f97,active,write,scene,generate,novelos-repository:license-unverified
xianxia,combat_choreography,backend/plugins/xianxia/skills/combat_choreography/metadata.yaml,sha256:e87a7178999da11bcc319ac0debaca9515d23a2f77b6f87eadfc716ea0b45e4d,active,write,scene,generate,novelos-repository:license-unverified
xianxia,xianxia_guide,backend/plugins/xianxia/skills/xianxia_guide/metadata.yaml,sha256:887fecfc9aae25788193e0876b531c3cdde8e61dcc06532323fc759c8f233eb6,active,write,style,generate,novelos-repository:license-unverified
xuanhuan,xuanhuan_brained_guide,backend/plugins/xuanhuan/skills/xuanhuan_brained_guide/metadata.yaml,sha256:bb4450768218380abc59660b6580af490f4cd9d86553313c34e882ba7e64f8a3,active,write,style,generate,novelos-repository:license-unverified
xuanhuan,xuanhuan_guide,backend/plugins/xuanhuan/skills/xuanhuan_guide/metadata.yaml,sha256:010345f9bed5a569902c51d9a55c5aa7267b3779caf4a653dbeae5c5991bbbfa,active,write,style,generate,novelos-repository:license-unverified
